0	>> (2)	12	core.rb:25
1	>> (2)	46	scheduler.rb:29
2	>> (4)	20	pathname.rb:48
3	>> (4)	15	pathname.rb:48
4	>> (4)	11	pathname.rb:48
5	>> (4)	23	pathname.rb:48
6	>> (4)	12	pathname.rb:48
7	>> (4)	11	pathname.rb:48
8	>> (3)	208	pathname.rb:395
9	>> (2)	263	pathname.rb:353
10	>> (4)	11	pathname.rb:48
11	>> (4)	11	pathname.rb:48
12	>> (4)	10	pathname.rb:48
13	>> (4)	8	pathname.rb:48
14	>> (4)	9	pathname.rb:48
15	>> (4)	10	pathname.rb:48
16	>> (3)	160	pathname.rb:395
17	>> (2)	204	pathname.rb:353
18	>> (3)	468	char_mapped_display.rb:333
19	>> (2)	491	char_mapped_display.rb:97
20	>> (2)	48	char_mapped_display.rb:102
21	>> (3)	4	window_guard.rb:18
22	>> (2)	21	core.rb:735
23	>> (3)	11	input_handler.rb:38
24	>> (3)	7	input_handler.rb:38
25	>> (2)	51	input_handler.rb:41
26	>> (3)	3	window_guard.rb:18
27	>> (2)	18	core.rb:759
28	>> (3)	4	sequence_memory.rb:62
29	>> (2)	19	sequence_memory.rb:21
30	>> (3)	3	window_guard.rb:18
31	>> (2)	17	core.rb:783
32	>> (2)	3	looper_pedal.rb:141
33	>> (3)	3	window_guard.rb:18
34	>> (2)	16	core.rb:787
35	>> (2)	5	core.rb:25
36	>> (2)	30	scheduler.rb:29
37	>> (2)	14	rubyOF.rb:126
38	>> (2)	18	char_mapped_display.rb:315
39	>> (3)	3	window_guard.rb:18
40	>> (2)	18	core.rb:824
41	>> (2)	4	core.rb:25
42	>> (2)	26	scheduler.rb:29
43	>> (2)	15	char_mapped_display.rb:315
44	>> (3)	3	window_guard.rb:18
45	>> (2)	16	core.rb:944
46	>> (2)	15	rubyOF.rb:97
47	>> (2)	14	char_mapped_display.rb:315
48	>> (2)	4	core.rb:25
49	>> (2)	19	scheduler.rb:165
50	>> (2)	27	scheduler.rb:29
51	>> (2)	17	char_mapped_display.rb:315
52	>> (2)	14	char_mapped_display.rb:315
53	>> (2)	13	char_mapped_display.rb:315
54	>> (2)	14	char_mapped_display.rb:315
55	>> (2)	14	char_mapped_display.rb:315
56	>> (2)	5	core.rb:25
57	>> (2)	21	scheduler.rb:165
58	>> (2)	51	scheduler.rb:29
59	>> (2)	7	core.rb:25
60	>> (2)	37	scheduler.rb:29
61	>> (4)	17	rubyOF.rb:103
62	>> (3)	42	rubyOF.rb:111
63	>> (2)	59	rubyOF.rb:120
64	>> (4)	11	rubyOF.rb:103
65	>> (3)	31	rubyOF.rb:111
66	>> (2)	45	rubyOF.rb:120
67	>> (2)	6	char_mapped_display.rb:164
68	>> (2)	4245	char_mapped_display.rb:170
69	>> (2)	4	char_mapped_display.rb:201
70	>> (2)	26	char_mapped_display.rb:191
71	>> (2)	4	char_mapped_display.rb:207
72	>> (2)	24	char_mapped_display.rb:191
73	>> (2)	3	char_mapped_display.rb:201
74	>> (2)	11	char_mapped_display.rb:191
75	>> (2)	3	char_mapped_display.rb:207
76	>> (2)	12	char_mapped_display.rb:191
77	>> (2)	3	char_mapped_display.rb:201
78	>> (2)	11	char_mapped_display.rb:191
79	>> (2)	3	char_mapped_display.rb:207
80	>> (2)	20	char_mapped_display.rb:191
81	>> (2)	3	char_mapped_display.rb:201
82	>> (2)	11	char_mapped_display.rb:191
83	>> (2)	4	char_mapped_display.rb:207
84	>> (2)	10	char_mapped_display.rb:191
85	>> (2)	3	char_mapped_display.rb:201
86	>> (2)	11	char_mapped_display.rb:191
87	>> (2)	4	char_mapped_display.rb:207
88	>> (2)	11	char_mapped_display.rb:191
89	>> (2)	3	char_mapped_display.rb:201
90	>> (2)	11	char_mapped_display.rb:191
91	>> (2)	3	char_mapped_display.rb:207
92	>> (2)	25	char_mapped_display.rb:191
93	>> (2)	4	char_mapped_display.rb:201
94	>> (2)	12	char_mapped_display.rb:191
95	>> (2)	3	char_mapped_display.rb:207
96	>> (2)	17	char_mapped_display.rb:191
97	>> (2)	3	char_mapped_display.rb:201
98	>> (2)	10	char_mapped_display.rb:191
99	>> (2)	3	char_mapped_display.rb:207
100	>> (2)	11	char_mapped_display.rb:191
101	>> (2)	15	char_mapped_display.rb:201
102	>> (2)	11	char_mapped_display.rb:191
103	>> (2)	3	char_mapped_display.rb:207
104	>> (2)	10	char_mapped_display.rb:191
105	>> (2)	3	char_mapped_display.rb:201
106	>> (2)	24	char_mapped_display.rb:191
107	>> (2)	3	char_mapped_display.rb:207
108	>> (2)	14	char_mapped_display.rb:191
109	>> (2)	4	char_mapped_display.rb:201
110	>> (2)	12	char_mapped_display.rb:191
111	>> (2)	3	char_mapped_display.rb:207
112	>> (2)	11	char_mapped_display.rb:191
113	>> (2)	4	char_mapped_display.rb:201
114	>> (2)	11	char_mapped_display.rb:191
115	>> (2)	3	char_mapped_display.rb:207
116	>> (2)	12	char_mapped_display.rb:191
117	>> (2)	4	char_mapped_display.rb:201
118	>> (2)	11	char_mapped_display.rb:191
119	>> (2)	3	char_mapped_display.rb:207
120	>> (2)	11	char_mapped_display.rb:191
121	>> (2)	3	char_mapped_display.rb:201
122	>> (2)	14	char_mapped_display.rb:191
123	>> (2)	3	char_mapped_display.rb:207
124	>> (2)	11	char_mapped_display.rb:191
125	>> (2)	3	char_mapped_display.rb:201
126	>> (2)	11	char_mapped_display.rb:191
127	>> (2)	4	char_mapped_display.rb:207
128	>> (2)	11	char_mapped_display.rb:191
129	>> (2)	3	char_mapped_display.rb:201
130	>> (2)	11	char_mapped_display.rb:191
131	>> (2)	3	char_mapped_display.rb:207
132	>> (2)	18	char_mapped_display.rb:191
133	>> (2)	3	char_mapped_display.rb:201
134	>> (2)	11	char_mapped_display.rb:191
135	>> (2)	3	char_mapped_display.rb:207
136	>> (2)	10	char_mapped_display.rb:191
137	>> (2)	4	char_mapped_display.rb:201
138	>> (2)	11	char_mapped_display.rb:191
139	>> (2)	3	char_mapped_display.rb:207
140	>> (2)	11	char_mapped_display.rb:191
141	>> (2)	3	char_mapped_display.rb:201
142	>> (2)	20	char_mapped_display.rb:191
143	>> (2)	3	char_mapped_display.rb:207
144	>> (2)	11	char_mapped_display.rb:191
145	>> (2)	3	char_mapped_display.rb:201
146	>> (2)	17	char_mapped_display.rb:191
147	>> (2)	3	char_mapped_display.rb:207
148	>> (2)	11	char_mapped_display.rb:191
149	>> (2)	3	char_mapped_display.rb:201
150	>> (2)	10	char_mapped_display.rb:191
151	>> (2)	3	char_mapped_display.rb:207
152	>> (2)	11	char_mapped_display.rb:191
153	>> (2)	3	char_mapped_display.rb:201
154	>> (2)	11	char_mapped_display.rb:191
155	>> (2)	3	char_mapped_display.rb:207
156	>> (2)	19	char_mapped_display.rb:191
157	>> (2)	4	char_mapped_display.rb:201
158	>> (2)	11	char_mapped_display.rb:191
159	>> (2)	3	char_mapped_display.rb:207
160	>> (2)	12	char_mapped_display.rb:191
161	>> (2)	11	char_mapped_display.rb:201
162	>> (2)	11	char_mapped_display.rb:191
163	>> (2)	3	char_mapped_display.rb:207
164	>> (2)	11	char_mapped_display.rb:191
165	>> (2)	3	char_mapped_display.rb:201
166	>> (2)	20	char_mapped_display.rb:191
167	>> (2)	3	char_mapped_display.rb:207
168	>> (2)	10	char_mapped_display.rb:191
169	>> (2)	3	char_mapped_display.rb:201
170	>> (2)	11	char_mapped_display.rb:191
171	>> (2)	3	char_mapped_display.rb:207
172	>> (2)	11	char_mapped_display.rb:191
173	>> (2)	3	char_mapped_display.rb:201
174	>> (2)	11	char_mapped_display.rb:191
175	>> (2)	3	char_mapped_display.rb:207
176	>> (2)	11	char_mapped_display.rb:191
177	>> (2)	9	char_mapped_display.rb:201
178	>> (2)	12	char_mapped_display.rb:191
179	>> (2)	4	char_mapped_display.rb:207
180	>> (2)	19	char_mapped_display.rb:191
181	>> (2)	3	char_mapped_display.rb:201
182	>> (2)	11	char_mapped_display.rb:191
183	>> (2)	3	char_mapped_display.rb:207
184	>> (2)	10	char_mapped_display.rb:191
185	>> (2)	11	char_mapped_display.rb:201
186	>> (2)	11	char_mapped_display.rb:191
187	>> (2)	3	char_mapped_display.rb:207
188	>> (2)	10	char_mapped_display.rb:191
189	>> (2)	3	char_mapped_display.rb:201
190	>> (2)	18	char_mapped_display.rb:191
